岩性,体素数,体积 (m³),占比 (%),平均厚度 (m)
砂岩,9213,2236411399.691275,34.12222222222222,50.0
黄土,830,201478504.47669145,3.074074074074074,20.0
黏土,756,183515360.70407078,2.8,18.68232173072453
15-1上煤,617,149773779.83387786,2.285185185185185,14.707924478154276
15-1下煤,339,82290618.09349205,1.2555555555555555,7.945857498675517
表土,42,10195297.81689282,0.15555555555555556,0.56514789266269
15-1煤,209,50733743.89834761,0.774074074074074,4.624586026816369
15-2煤,545,132296126.43349017,2.0185185185185186,13.74110116771302
15-3煤,612,148560053.90329537,2.2666666666666666,14.8442578255383
煤7,68,16506672.655921709,0.2518518518518518,0.8000000000000087
砾岩,1919,465828012.1575553,7.107407407407408,47.70511449412717
15-4煤,282,68454142.48485179,1.0444444444444445,6.738431384301507
砂砾岩,1930,468498209.2048367,7.148148148148148,47.8186549348176
15-5煤,28,6796865.211261881,0.1037037037037037,0.5006730122891332
15-5上煤,419,101710232.9828117,1.5518518518518518,10.072803774135613
细砂岩,1896,460244872.8768759,7.022222222222222,46.960325491446255
15-5下煤,422,102438468.5411612,1.5629629629629629,10.248452521018963
中砂岩,1475,358049149.5218312,5.462962962962963,36.85822465441724
粗砾岩,1515,367758956.96649104,5.611111111111111,43.57988560357962
煤6,30,7282355.583494872,0.1111111111111111,0.5508801212805107
15-6煤,48,11651768.933591794,0.17777777777777778,1.0494122092679141
中砾岩,1498,363632288.8025106,5.548148148148148,45.60593377124719
泥岩,929,225510277.90222454,3.4407407407407407,45.68951580411177
煤,219,53161195.759512566,0.8111111111111111,19.043147162769834
15-7煤,40,9709807.44465983,0.14814814814814814,3.5677884624792013
细砾岩,546,132538871.61960666,2.022222222222222,50.0
粉砂岩,340,82533363.27960855,1.2592592592592593,48.515536225311145
砂质泥岩,185,44907859.43155171,0.6851851851851852,44.730180528164155
炭质泥岩,6,1456471.1166989743,0.022222222222222223,17.298405599723527
煤5,0,0.0,0.0,0.5062845361767447
16-1煤,5,1213725.9305824786,0.018518518518518517,11.592193228150137
粗砂岩,36,8738826.700193847,0.13333333333333333,40.24601721092825
煤4,0,0.0,0.0,1.1964701512557256
16.2下煤,1,242745.18611649572,0.003703703703703704,7.800000000000008
16-2上煤,0,0.0,0.0,7.180290061580335
16-2下煤,0,0.0,0.0,6.597114110576068
煤3,0,0.0,0.0,7.807780401444807
16-3上煤,0,0.0,0.0,25.27018820888688
煤2,0,0.0,0.0,1.6448645906370432
16-3中煤,0,0.0,0.0,15.668164562351047
16-3上2煤,0,0.0,0.0,13.600000000000016
16-3煤,0,0.0,0.0,30.0
煤1,0,0.0,0.0,0.8931940256640502
16-3上1煤,0,0.0,0.0,3.5
16-4煤,0,0.0,0.0,12.70102042743194
16-2煤,0,0.0,0.0,29.564059939686597
